filename,handle,filename2,.tif
ksrl_sc_ms23_D.4.20.tif,http://hdl.handle.net/10407/6894197997,ksrl_sc_ms23_D.4.20,.tif
ksrl_sc_ms23_D.4.21.tif,http://hdl.handle.net/10407/8191126332,ksrl_sc_ms23_D.4.21,.tif
ksrl_sc_ms23_D.4.22.tif,http://hdl.handle.net/10407/9488054667,ksrl_sc_ms23_D.4.22,.tif
ksrl_sc_ms23_D.4.23.tif,http://hdl.handle.net/10407/0784982952,ksrl_sc_ms23_D.4.23,.tif
ksrl_sc_ms23_D.4.24.tif,http://hdl.handle.net/10407/2081911286,ksrl_sc_ms23_D.4.24,.tif
ksrl_sc_ms23_D.4.25.tif,http://hdl.handle.net/10407/3378839619,ksrl_sc_ms23_D.4.25,.tif
ksrl_sc_ms23_D.4.26.tif,http://hdl.handle.net/10407/4641638260,ksrl_sc_ms23_D.4.26,.tif
ksrl_sc_ms23_D.4.27.tif,http://hdl.handle.net/10407/5938566593,ksrl_sc_ms23_D.4.27,.tif
ksrl_sc_ms23_D.4.28.tif,http://hdl.handle.net/10407/7235494928,ksrl_sc_ms23_D.4.28,.tif
ksrl_sc_ms23_D.4.29.tif,http://hdl.handle.net/10407/8532423262,ksrl_sc_ms23_D.4.29,.tif
ksrl_sc_ms23_D.4.3.tif,http://hdl.handle.net/10407/9829351596,ksrl_sc_ms23_D.4.3,.tif
ksrl_sc_ms23_D.4.30.tif,http://hdl.handle.net/10407/1126279881,ksrl_sc_ms23_D.4.30,.tif
ksrl_sc_ms23_D.4.31.tif,http://hdl.handle.net/10407/2423208214,ksrl_sc_ms23_D.4.31,.tif
ksrl_sc_ms23_D.4.32.tif,http://hdl.handle.net/10407/3686006857,ksrl_sc_ms23_D.4.32,.tif
ksrl_sc_ms23_D.4.33.tif,http://hdl.handle.net/10407/4982935190,ksrl_sc_ms23_D.4.33,.tif
ksrl_sc_ms23_D.4.34.tif,http://hdl.handle.net/10407/6279863525,ksrl_sc_ms23_D.4.34,.tif
ksrl_sc_ms23_D.4.35.tif,http://hdl.handle.net/10407/7576791859,ksrl_sc_ms23_D.4.35,.tif
ksrl_sc_ms23_D.4.36.tif,http://hdl.handle.net/10407/8873720193,ksrl_sc_ms23_D.4.36,.tif
ksrl_sc_ms23_D.4.37.tif,http://hdl.handle.net/10407/0170648477,ksrl_sc_ms23_D.4.37,.tif
ksrl_sc_ms23_D.4.4.tif,http://hdl.handle.net/10407/1467576810,ksrl_sc_ms23_D.4.4,.tif
ksrl_sc_ms23_D.4.5.tif,http://hdl.handle.net/10407/2730375453,ksrl_sc_ms23_D.4.5,.tif
ksrl_sc_ms23_D.4.6.tif,http://hdl.handle.net/10407/4027303786,ksrl_sc_ms23_D.4.6,.tif
ksrl_sc_ms23_D.4.7.tif,http://hdl.handle.net/10407/5324232121,ksrl_sc_ms23_D.4.7,.tif
ksrl_sc_ms23_D.4.8.tif,http://hdl.handle.net/10407/6621160455,ksrl_sc_ms23_D.4.8,.tif
ksrl_sc_ms23_D.4.9.tif,http://hdl.handle.net/10407/7918088789,ksrl_sc_ms23_D.4.9,.tif
ksrl_sc_ms23_D.5.1.tif,http://hdl.handle.net/10407/9215017122,ksrl_sc_ms23_D.5.1,.tif
ksrl_sc_ms23_D.5.2.tif,http://hdl.handle.net/10407/0511945406,ksrl_sc_ms23_D.5.2,.tif
ksrl_sc_ms23_D.5.3.tif,http://hdl.handle.net/10407/1774744048,ksrl_sc_ms23_D.5.3,.tif
ksrl_sc_ms23_D.5.4.tif,http://hdl.handle.net/10407/3071672381,ksrl_sc_ms23_D.5.4,.tif
ksrl_sc_ms23_D.5.5.tif,http://hdl.handle.net/10407/4368600716,ksrl_sc_ms23_D.5.5,.tif
ksrl_sc_ms23_D.6.1.tif,http://hdl.handle.net/10407/5665529050,ksrl_sc_ms23_D.6.1,.tif
ksrl_sc_ms23_D.6.10.tif,http://hdl.handle.net/10407/6962457384,ksrl_sc_ms23_D.6.10,.tif
ksrl_sc_ms23_D.6.11.tif,http://hdl.handle.net/10407/8259385717,ksrl_sc_ms23_D.6.11,.tif
ksrl_sc_ms23_D.6.12.tif,http://hdl.handle.net/10407/9522184360,ksrl_sc_ms23_D.6.12,.tif
ksrl_sc_ms23_D.6.13.tif,http://hdl.handle.net/10407/0819112644,ksrl_sc_ms23_D.6.13,.tif
ksrl_sc_ms23_D.6.14.tif,http://hdl.handle.net/10407/2116040977,ksrl_sc_ms23_D.6.14,.tif
ksrl_sc_ms23_D.6.15.tif,http://hdl.handle.net/10407/3412969312,ksrl_sc_ms23_D.6.15,.tif
ksrl_sc_ms23_D.6.16.tif,http://hdl.handle.net/10407/4709897646,ksrl_sc_ms23_D.6.16,.tif
ksrl_sc_ms23_D.6.17.tif,http://hdl.handle.net/10407/6006825980,ksrl_sc_ms23_D.6.17,.tif
ksrl_sc_ms23_D.6.18.tif,http://hdl.handle.net/10407/7303754313,ksrl_sc_ms23_D.6.18,.tif
ksrl_sc_ms23_D.6.19.tif,http://hdl.handle.net/10407/8566552956,ksrl_sc_ms23_D.6.19,.tif
ksrl_sc_ms23_D.6.2.tif,http://hdl.handle.net/10407/9863481289,ksrl_sc_ms23_D.6.2,.tif
ksrl_sc_ms23_D.6.20.tif,http://hdl.handle.net/10407/1160409573,ksrl_sc_ms23_D.6.20,.tif
ksrl_sc_ms23_D.6.21.tif,http://hdl.handle.net/10407/2457337908,ksrl_sc_ms23_D.6.21,.tif
ksrl_sc_ms23_D.6.22.tif,http://hdl.handle.net/10407/3754266242,ksrl_sc_ms23_D.6.22,.tif
ksrl_sc_ms23_D.6.23.tif,http://hdl.handle.net/10407/5051194576,ksrl_sc_ms23_D.6.23,.tif
ksrl_sc_ms23_D.6.24.tif,http://hdl.handle.net/10407/6348122909,ksrl_sc_ms23_D.6.24,.tif
ksrl_sc_ms23_D.6.25.tif,http://hdl.handle.net/10407/7610921551,ksrl_sc_ms23_D.6.25,.tif
ksrl_sc_ms23_D.6.26.tif,http://hdl.handle.net/10407/8907849884,ksrl_sc_ms23_D.6.26,.tif
ksrl_sc_ms23_D.6.3.tif,http://hdl.handle.net/10407/0204778169,ksrl_sc_ms23_D.6.3,.tif
ksrl_sc_ms23_D.6.4.tif,http://hdl.handle.net/10407/1501706504,ksrl_sc_ms23_D.6.4,.tif
ksrl_sc_ms23_D.6.5.tif,http://hdl.handle.net/10407/2798634838,ksrl_sc_ms23_D.6.5,.tif
ksrl_sc_ms23_D.6.6.tif,http://hdl.handle.net/10407/4095563172,ksrl_sc_ms23_D.6.6,.tif
ksrl_sc_ms23_D.6.7.tif,http://hdl.handle.net/10407/5392491505,ksrl_sc_ms23_D.6.7,.tif
ksrl_sc_ms23_D.6.8.tif,http://hdl.handle.net/10407/6655290147,ksrl_sc_ms23_D.6.8,.tif
ksrl_sc_ms23_D.6.9.tif,http://hdl.handle.net/10407/7952218480,ksrl_sc_ms23_D.6.9,.tif
ksrl_sc_ms23_D.7.1.tif,http://hdl.handle.net/10407/9249146815,ksrl_sc_ms23_D.7.1,.tif
ksrl_sc_ms23_D.8.1.tif,http://hdl.handle.net/10407/0546075101,ksrl_sc_ms23_D.8.1,.tif
ksrl_sc_ms23_D.8.10.tif,http://hdl.handle.net/10407/1843003435,ksrl_sc_ms23_D.8.10,.tif
ksrl_sc_ms23_D.8.11.tif,http://hdl.handle.net/10407/3139931769,ksrl_sc_ms23_D.8.11,.tif
